試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,16,,菅原幸紀,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,21,,岡森怜夢,4,■,■,■,■,nan,27,13,0,48.1,48.1,3.25,5,3,0,60.0,0,-,12,0,3,5,4.2,15,3,9,50.0,13
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,22,,岡本捷吾,3,□,□,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,6,0,1,3,8.3,0,0,0,-,0
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,23,,谷直也,1,nan,nan,nan,□,nan,1,1,0,100.0,100.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,1
2022-02-12,アイシンティルマーレ,長野GaRons,3,1,1,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,114,59,6,51.8,46.5,14.75,26,15,4,57.7,7,1.75,98,5,13,33,10.2,60,22,27,59.2,71
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,1,,岩阪健太郎,4,■,■,■,■,nan,9,4,2,44.4,22.2,1.00,0,0,0,-,1,0.25,13,0,2,2,0.0,1,0,1,50.0,5
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,2,,為我井太也,2,■,■,nan,nan,nan,1,1,0,100.0,100.0,0.50,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,1
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,3,,紅林宏輝,4,■,■,■,■,nan,36,18,2,50.0,44.4,4.50,9,5,0,55.6,1,0.25,14,0,5,3,-3.6,25,9,7,50.0,19
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,4,,西河孝太,2,nan,nan,□,■,nan,10,4,0,40.0,40.0,2.00,0,0,0,-,0,-,4,0,1,1,0.0,0,0,0,-,4
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,6,,大貫智博,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,7,,石井琢也,3,■,■,■,nan,nan,16,8,1,50.0,43.8,2.67,0,0,0,-,0,-,6,0,0,1,4.2,0,0,0,-,8
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,9,,東拓巳,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2022-02-13,トヨタモビリティ東京スパークル,長野GaRons,1,3,0,10,L,野田雄介,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,29,17,6,69.0,0
